production_order_id,factory_id,production_line,product_id,product_name,machine_id,operator_id,shift,planned_quantity,cycle_time_minutes,status
PO000127,F001,PL001,P001,Engine Block,M003,EMP000211,C,387,18,Completed
PO000128,F001,PL002,P002,Crankshaft,M005,EMP000392,B,320,15,Completed
PO000129,F001,PL003,P003,Cylinder Head,M007,EMP000126,B,367,16,Completed
PO000130,F002,PL004,P004,Fuel Pump,M011,EMP000013,B,420,12,Completed
PO000131,F002,PL005,P005,Hydraulic Pump,M015,EMP000378,C,310,14,Completed
PO000132,F002,PL006,P006,Transmission Housing,M018,EMP000227,A,273,20,Completed
PO000133,F001,PL001,P001,Engine Block,M003,EMP000225,B,430,18,Completed
PO000134,F001,PL002,P002,Crankshaft,M006,EMP000039,A,317,15,Completed
PO000135,F001,PL003,P003,Cylinder Head,M008,EMP000408,A,350,16,Completed
PO000136,F002,PL004,P004,Fuel Pump,M012,EMP000171,A,470,12,Completed
PO000137,F002,PL005,P005,Hydraulic Pump,M014,EMP000095,C,308,14,Completed
PO000138,F002,PL006,P006,Transmission Housing,M016,EMP000155,B,285,20,Completed
PO000139,F001,PL001,P001,Engine Block,M001,EMP000062,C,447,18,Completed
PO000140,F001,PL002,P002,Crankshaft,M005,EMP000039,B,368,15,Completed
PO000141,F001,PL003,P003,Cylinder Head,M008,EMP000044,A,342,16,Completed
PO000142,F002,PL004,P004,Fuel Pump,M012,EMP000177,B,454,12,Completed
PO000143,F002,PL005,P005,Hydraulic Pump,M013,EMP000415,B,272,14,Completed
PO000144,F002,PL006,P006,Transmission Housing,M016,EMP000156,B,280,20,Completed
PO000145,F001,PL001,P001,Engine Block,M001,EMP000188,C,416,18,Completed
PO000146,F001,PL002,P002,Crankshaft,M006,EMP000414,C,358,15,Completed
PO000147,F001,PL003,P003,Cylinder Head,M007,EMP000383,A,350,16,Completed
PO000148,F002,PL004,P004,Fuel Pump,M012,EMP000235,C,419,12,Completed
PO000149,F002,PL005,P005,Hydraulic Pump,M013,EMP000378,C,319,14,Completed
PO000150,F002,PL006,P006,Transmission Housing,M018,EMP000327,B,249,20,Completed
PO000151,F001,PL001,P001,Engine Block,M001,EMP000311,B,365,18,Completed
PO000152,F001,PL002,P002,Crankshaft,M005,EMP000252,B,309,15,Completed
PO000153,F001,PL003,P003,Cylinder Head,M007,EMP000258,C,367,16,Completed
PO000154,F002,PL004,P004,Fuel Pump,M010,EMP000388,C,445,12,Completed
PO000155,F002,PL005,P005,Hydraulic Pump,M014,EMP000405,A,291,14,Completed
PO000156,F002,PL006,P006,Transmission Housing,M016,EMP000099,A,291,20,Completed
PO000157,F001,PL001,P001,Engine Block,M002,EMP000042,A,363,18,Completed
PO000158,F001,PL002,P002,Crankshaft,M006,EMP000252,B,346,15,Completed
PO000159,F001,PL003,P003,Cylinder Head,M009,EMP000036,B,367,16,Completed
PO000160,F002,PL004,P004,Fuel Pump,M010,EMP000373,C,500,12,Completed
PO000161,F002,PL005,P005,Hydraulic Pump,M013,EMP000413,A,320,14,Completed
PO000162,F002,PL006,P006,Transmission Housing,M017,EMP000057,A,254,20,Completed
PO000163,F001,PL001,P001,Engine Block,M002,EMP000371,B,404,18,Completed
PO000164,F001,PL002,P002,Crankshaft,M004,EMP000069,A,332,15,Completed
PO000165,F001,PL003,P003,Cylinder Head,M009,EMP000022,B,360,16,Completed
PO000166,F002,PL004,P004,Fuel Pump,M011,EMP000409,A,435,12,Completed
PO000167,F002,PL005,P005,Hydraulic Pump,M014,EMP000075,C,316,14,Completed
PO000168,F002,PL006,P006,Transmission Housing,M018,EMP000099,C,265,20,Completed
PO000169,F001,PL001,P001,Engine Block,M003,EMP000081,A,402,18,Completed
PO000170,F001,PL002,P002,Crankshaft,M004,EMP000154,A,337,15,Completed
PO000171,F001,PL003,P003,Cylinder Head,M009,EMP000356,A,369,16,Completed
PO000172,F002,PL004,P004,Fuel Pump,M010,EMP000137,B,476,12,Completed
PO000173,F002,PL005,P005,Hydraulic Pump,M014,EMP000342,B,312,14,Completed
PO000174,F002,PL006,P006,Transmission Housing,M018,EMP000164,A,272,20,Completed
PO000175,F001,PL001,P001,Engine Block,M002,EMP000067,A,433,18,Completed
PO000176,F001,PL002,P002,Crankshaft,M005,EMP000375,C,309,15,Completed
PO000177,F001,PL003,P003,Cylinder Head,M008,EMP000070,C,336,16,Completed
PO000178,F002,PL004,P004,Fuel Pump,M012,EMP000189,C,487,12,Completed
PO000179,F002,PL005,P005,Hydraulic Pump,M015,EMP000066,B,297,14,Completed
PO000180,F002,PL006,P006,Transmission Housing,M017,EMP000227,C,244,20,Completed
PO000181,F001,PL001,P001,Engine Block,M002,EMP000062,B,439,18,Completed
PO000182,F001,PL002,P002,Crankshaft,M006,EMP000010,C,319,15,Completed
PO000183,F001,PL003,P003,Cylinder Head,M008,EMP000007,B,400,16,Completed
PO000184,F002,PL004,P004,Fuel Pump,M012,EMP000341,B,452,12,Completed
PO000185,F002,PL005,P005,Hydraulic Pump,M014,EMP000405,C,309,14,Completed
PO000186,F002,PL006,P006,Transmission Housing,M016,EMP000193,B,252,20,Completed
PO000187,F001,PL001,P001,Engine Block,M003,EMP000338,C,408,18,Completed
PO000188,F001,PL002,P002,Crankshaft,M006,EMP000284,C,326,15,Completed
PO000189,F001,PL003,P003,Cylinder Head,M009,EMP000258,B,374,16,Completed
PO000190,F002,PL004,P004,Fuel Pump,M012,EMP000259,B,400,12,Completed
PO000191,F002,PL005,P005,Hydraulic Pump,M014,EMP000271,B,298,14,Completed
PO000192,F002,PL006,P006,Transmission Housing,M018,EMP000136,C,278,20,Completed
PO000193,F001,PL001,P001,Engine Block,M002,EMP000012,B,419,18,Completed
PO000194,F001,PL002,P002,Crankshaft,M005,EMP000105,C,331,15,Completed
PO000195,F001,PL003,P003,Cylinder Head,M008,EMP000205,C,357,16,Completed
PO000196,F002,PL004,P004,Fuel Pump,M010,EMP000238,C,436,12,Completed
PO000197,F002,PL005,P005,Hydraulic Pump,M015,EMP000125,A,314,14,Completed
PO000198,F002,PL006,P006,Transmission Housing,M016,EMP000164,B,283,20,Completed
PO000199,F001,PL001,P001,Engine Block,M001,EMP000062,A,385,18,Completed
PO000200,F001,PL002,P002,Crankshaft,M004,EMP000232,A,309,15,Completed
PO000201,F001,PL003,P003,Cylinder Head,M008,EMP000286,A,414,16,Completed
PO000202,F002,PL004,P004,Fuel Pump,M011,EMP000169,C,453,12,Completed
PO000203,F002,PL005,P005,Hydraulic Pump,M015,EMP000024,C,296,14,Completed
PO000204,F002,PL006,P006,Transmission Housing,M018,EMP000320,B,264,20,Completed
PO000205,F001,PL001,P001,Engine Block,M002,EMP000082,A,391,18,Completed
PO000206,F001,PL002,P002,Crankshaft,M006,EMP000414,A,304,15,Completed
PO000207,F001,PL003,P003,Cylinder Head,M008,EMP000339,A,364,16,Completed
PO000208,F002,PL004,P004,Fuel Pump,M012,EMP000341,B,466,12,Completed
PO000209,F002,PL005,P005,Hydraulic Pump,M013,EMP000228,A,303,14,Completed
PO000210,F002,PL006,P006,Transmission Housing,M017,EMP000366,B,248,20,Completed
PO000211,F001,PL001,P001,Engine Block,M003,EMP000360,C,427,18,Completed
PO000212,F001,PL002,P002,Crankshaft,M006,EMP000330,B,344,15,Completed
PO000213,F001,PL003,P003,Cylinder Head,M009,EMP000312,B,400,16,Completed
PO000214,F002,PL004,P004,Fuel Pump,M012,EMP000364,A,457,12,Completed
PO000215,F002,PL005,P005,Hydraulic Pump,M015,EMP000413,B,332,14,Completed
PO000216,F002,PL006,P006,Transmission Housing,M017,EMP000266,A,288,20,Completed
PO000217,F001,PL001,P001,Engine Block,M003,EMP000311,C,395,18,Completed
PO000218,F001,PL002,P002,Crankshaft,M005,EMP000326,B,334,15,Completed
PO000219,F001,PL003,P003,Cylinder Head,M008,EMP000093,C,345,16,Completed
PO000220,F002,PL004,P004,Fuel Pump,M011,EMP000140,B,430,12,Completed
PO000221,F002,PL005,P005,Hydraulic Pump,M014,EMP000287,C,312,14,Completed
PO000222,F002,PL006,P006,Transmission Housing,M016,EMP000197,A,248,20,Completed
PO000223,F001,PL001,P001,Engine Block,M001,EMP000368,C,409,18,Completed
PO000224,F001,PL002,P002,Crankshaft,M004,EMP000354,A,331,15,Completed
PO000225,F001,PL003,P003,Cylinder Head,M008,EMP000329,B,388,16,Completed
PO000226,F002,PL004,P004,Fuel Pump,M012,EMP000097,B,459,12,Completed
PO000227,F002,PL005,P005,Hydraulic Pump,M013,EMP000048,B,298,14,Completed
PO000228,F002,PL006,P006,Transmission Housing,M017,EMP000320,C,297,20,Completed
PO000229,F001,PL001,P001,Engine Block,M003,EMP000012,C,362,18,Completed
PO000230,F001,PL002,P002,Crankshaft,M005,EMP000105,A,365,15,Completed
PO000231,F001,PL003,P003,Cylinder Head,M008,EMP000160,B,374,16,Completed
PO000232,F002,PL004,P004,Fuel Pump,M011,EMP000135,C,468,12,Completed
PO000233,F002,PL005,P005,Hydraulic Pump,M015,EMP000086,B,300,14,Completed
PO000234,F002,PL006,P006,Transmission Housing,M016,EMP000149,B,257,20,Completed
PO000235,F001,PL001,P001,Engine Block,M002,EMP000030,B,363,18,Completed
PO000236,F001,PL002,P002,Crankshaft,M005,EMP000119,C,355,15,Completed
PO000237,F001,PL003,P003,Cylinder Head,M007,EMP000386,A,395,16,Completed
PO000238,F002,PL004,P004,Fuel Pump,M012,EMP000021,A,468,12,Completed
PO000239,F002,PL005,P005,Hydraulic Pump,M014,EMP000017,A,275,14,Completed
PO000240,F002,PL006,P006,Transmission Housing,M018,EMP000083,A,267,20,Completed
PO000241,F001,PL001,P001,Engine Block,M002,EMP000333,A,383,18,Completed
PO000242,F001,PL002,P002,Crankshaft,M005,EMP000106,B,352,15,Completed
PO000243,F001,PL003,P003,Cylinder Head,M007,EMP000178,B,394,16,Completed
PO000244,F002,PL004,P004,Fuel Pump,M011,EMP000185,B,497,12,Completed
PO000245,F002,PL005,P005,Hydraulic Pump,M014,EMP000296,B,325,14,Completed
PO000246,F002,PL006,P006,Transmission Housing,M016,EMP000089,A,270,20,Completed
PO000247,F001,PL001,P001,Engine Block,M003,EMP000253,A,429,18,Completed
PO000248,F001,PL002,P002,Crankshaft,M005,EMP000183,C,332,15,Completed
PO000249,F001,PL003,P003,Cylinder Head,M007,EMP000386,A,419,16,Completed
PO000250,F002,PL004,P004,Fuel Pump,M010,EMP000268,A,431,12,Completed
PO000251,F002,PL005,P005,Hydraulic Pump,M013,EMP000413,A,291,14,Completed
PO000252,F002,PL006,P006,Transmission Housing,M016,EMP000236,C,270,20,Completed
PO000253,F001,PL001,P001,Engine Block,M001,EMP000009,A,432,18,Completed
PO000254,F001,PL002,P002,Crankshaft,M005,EMP000379,B,336,15,Completed
PO000255,F001,PL003,P003,Cylinder Head,M007,EMP000391,C,413,16,Completed
PO000256,F002,PL004,P004,Fuel Pump,M012,EMP000235,A,491,12,Completed
PO000257,F002,PL005,P005,Hydraulic Pump,M013,EMP000134,A,311,14,Completed
PO000258,F002,PL006,P006,Transmission Housing,M018,EMP000112,B,241,20,Completed
PO000259,F001,PL001,P001,Engine Block,M003,EMP000360,B,446,18,Completed
PO000260,F001,PL002,P002,Crankshaft,M005,EMP000251,A,329,15,Completed
PO000261,F001,PL003,P003,Cylinder Head,M009,EMP000408,A,416,16,Completed
PO000262,F002,PL004,P004,Fuel Pump,M010,EMP000173,B,489,12,Completed
PO000263,F002,PL005,P005,Hydraulic Pump,M015,EMP000367,C,287,14,Completed
PO000264,F002,PL006,P006,Transmission Housing,M016,EMP000227,C,262,20,Completed
PO000265,F001,PL001,P001,Engine Block,M002,EMP000371,B,444,18,Completed
PO000266,F001,PL002,P002,Crankshaft,M004,EMP000223,C,368,15,Completed
PO000267,F001,PL003,P003,Cylinder Head,M008,EMP000267,B,337,16,Completed
PO000268,F002,PL004,P004,Fuel Pump,M011,EMP000257,B,413,12,Completed
PO000269,F002,PL005,P005,Hydraulic Pump,M014,EMP000107,C,330,14,Completed
PO000270,F002,PL006,P006,Transmission Housing,M016,EMP000172,A,267,20,Completed
PO000271,F001,PL001,P001,Engine Block,M003,EMP000167,C,426,18,Completed
PO000272,F001,PL002,P002,Crankshaft,M005,EMP000130,B,372,15,Completed
PO000273,F001,PL003,P003,Cylinder Head,M008,EMP000286,C,391,16,Completed
PO000274,F002,PL004,P004,Fuel Pump,M012,EMP000051,B,434,12,Completed
PO000275,F002,PL005,P005,Hydraulic Pump,M013,EMP000212,B,283,14,Completed
PO000276,F002,PL006,P006,Transmission Housing,M017,EMP000149,B,255,20,Completed
PO000277,F001,PL001,P001,Engine Block,M003,EMP000179,C,438,18,Completed
PO000278,F001,PL002,P002,Crankshaft,M005,EMP000122,A,347,15,Completed
PO000279,F001,PL003,P003,Cylinder Head,M008,EMP000391,A,377,16,Completed
PO000280,F002,PL004,P004,Fuel Pump,M011,EMP000299,B,427,12,Completed
PO000281,F002,PL005,P005,Hydraulic Pump,M014,EMP000271,B,315,14,Completed
PO000282,F002,PL006,P006,Transmission Housing,M018,EMP000041,B,284,20,Completed
PO000283,F001,PL001,P001,Engine Block,M003,EMP000082,C,361,18,Completed
PO000284,F001,PL002,P002,Crankshaft,M004,EMP000119,A,314,15,Completed
PO000285,F001,PL003,P003,Cylinder Head,M009,EMP000356,B,388,16,Completed
PO000286,F002,PL004,P004,Fuel Pump,M012,EMP000419,A,497,12,Completed
PO000287,F002,PL005,P005,Hydraulic Pump,M015,EMP000199,C,332,14,Completed
PO000288,F002,PL006,P006,Transmission Housing,M018,EMP000156,B,271,20,Completed
PO000289,F001,PL001,P001,Engine Block,M001,EMP000098,B,371,18,Completed
PO000290,F001,PL002,P002,Crankshaft,M004,EMP000248,C,355,15,Completed
PO000291,F001,PL003,P003,Cylinder Head,M007,EMP000347,C,375,16,Completed
PO000292,F002,PL004,P004,Fuel Pump,M012,EMP000307,B,447,12,Completed
PO000293,F002,PL005,P005,Hydraulic Pump,M015,EMP000413,B,339,14,Completed
PO000294,F002,PL006,P006,Transmission Housing,M017,EMP000149,C,287,20,Completed
PO000295,F001,PL001,P001,Engine Block,M002,EMP000078,C,405,18,Completed
PO000296,F001,PL002,P002,Crankshaft,M005,EMP000304,B,338,15,Completed
PO000297,F001,PL003,P003,Cylinder Head,M008,EMP000374,A,365,16,Completed
PO000298,F002,PL004,P004,Fuel Pump,M012,EMP000219,B,424,12,Completed
PO000299,F002,PL005,P005,Hydraulic Pump,M013,EMP000134,C,340,14,Completed
PO000300,F002,PL006,P006,Transmission Housing,M016,EMP000320,A,252,20,Completed
PO000301,F001,PL001,P001,Engine Block,M003,EMP000357,B,421,18,Completed
PO000302,F001,PL002,P002,Crankshaft,M006,EMP000039,C,379,15,Completed
PO000303,F001,PL003,P003,Cylinder Head,M009,EMP000170,A,372,16,Completed
PO000304,F002,PL004,P004,Fuel Pump,M010,EMP000208,A,437,12,Completed
PO000305,F002,PL005,P005,Hydraulic Pump,M014,EMP000381,B,294,14,Completed
PO000306,F002,PL006,P006,Transmission Housing,M016,EMP000114,C,285,20,Completed
PO000307,F001,PL001,P001,Engine Block,M001,EMP000361,A,395,18,Completed
PO000308,F001,PL002,P002,Crankshaft,M004,EMP000046,B,374,15,Completed
PO000309,F001,PL003,P003,Cylinder Head,M009,EMP000131,C,352,16,Completed
PO000310,F002,PL004,P004,Fuel Pump,M011,EMP000071,A,413,12,Completed
PO000311,F002,PL005,P005,Hydraulic Pump,M015,EMP000210,B,308,14,Completed
PO000312,F002,PL006,P006,Transmission Housing,M017,EMP000227,B,268,20,Completed
PO000313,F001,PL001,P001,Engine Block,M001,EMP000353,B,366,18,Completed
PO000314,F001,PL002,P002,Crankshaft,M005,EMP000304,A,318,15,Completed
PO000315,F001,PL003,P003,Cylinder Head,M008,EMP000160,A,398,16,Completed
PO000316,F002,PL004,P004,Fuel Pump,M012,EMP000140,C,480,12,Completed
PO000317,F002,PL005,P005,Hydraulic Pump,M013,EMP000151,A,291,14,Completed
PO000318,F002,PL006,P006,Transmission Housing,M018,EMP000366,B,300,20,Completed
PO000319,F001,PL001,P001,Engine Block,M001,EMP000187,A,391,18,Completed
PO000320,F001,PL002,P002,Crankshaft,M006,EMP000154,C,357,15,Completed
PO000321,F001,PL003,P003,Cylinder Head,M009,EMP000201,A,415,16,Completed
PO000322,F002,PL004,P004,Fuel Pump,M012,EMP000021,B,448,12,Completed
PO000323,F002,PL005,P005,Hydraulic Pump,M014,EMP000148,C,310,14,Completed
PO000324,F002,PL006,P006,Transmission Housing,M017,EMP000263,C,259,20,Completed
PO000325,F001,PL001,P001,Engine Block,M003,EMP000310,C,367,18,Completed
PO000326,F001,PL002,P002,Crankshaft,M006,EMP000154,A,316,15,Completed
PO000327,F001,PL003,P003,Cylinder Head,M009,EMP000402,B,363,16,Completed
PO000328,F002,PL004,P004,Fuel Pump,M012,EMP000237,A,410,12,Completed
PO000329,F002,PL005,P005,Hydraulic Pump,M013,EMP000033,C,294,14,Completed
PO000330,F002,PL006,P006,Transmission Housing,M016,EMP000281,A,250,20,Completed
PO000331,F001,PL001,P001,Engine Block,M002,EMP000129,C,417,18,Completed
PO000332,F001,PL002,P002,Crankshaft,M006,EMP000414,B,364,15,Completed
